"","denovo66","denovo174","denovo175","denovo170","denovo673","denovo253","denovo102","denovo165","denovo164","denovo167","denovo166","denovo161","denovo160","denovo163","denovo207","denovo365","denovo363","denovo362","denovo360","denovo369","denovo368","denovo92","denovo47","denovo337","denovo103","denovo371","denovo534","denovo532","denovo539","denovo254","denovo248","denovo249","denovo240","denovo241","denovo242","denovo243","denovo244","denovo245","denovo246","denovo63","denovo64","denovo98","denovo27","denovo26","denovo226","denovo224","denovo223","denovo473","denovo472","denovo471","denovo477","denovo475","denovo474","denovo479","denovo478","denovo138","denovo132","denovo130","denovo131","denovo136","denovo137","denovo134","denovo81","denovo83","denovo331","denovo333","denovo338","denovo187","denovo334","denovo335","denovo330","denovo339","denovo91","denovo96","denovo24","denovo23","denovo22","denovo21","denovo408","denovo271","denovo270","denovo273","denovo272","denovo275","denovo274","denovo277","denovo276","denovo279","denovo278","denovo93","denovo94","denovo238","denovo13","denovo17","denovo15","denovo162","denovo169","denovo36","denovo33","denovo38","denovo39","denovo220","denovo428","denovo420","denovo421","denovo422","denovo423","denovo424","denovo425","denovo426","denovo427","denovo218","denovo384","denovo387","denovo386","denovo381","denovo380","denovo383","denovo382","denovo389","denovo388","denovo653","denovo656","denovo655","denovo366","denovo364","denovo361","denovo601","denovo168","denovo143","denovo142","denovo147","denovo146","denovo145","denovo144","denovo309","denovo308","denovo304","denovo301","denovo300","denovo302","denovo232","denovo518","denovo519","denovo515","denovo516","denovo510","denovo511","denovo512","denovo513","denovo78","denovo79","denovo71","denovo75","denovo499","denovo491","denovo490","denovo493","denovo494","denovo497","denovo496","denovo77","denovo722","denovo84","denovo104","denovo86","denovo80","denovo82","denovo69","denovo68","denovo62","denovo61","denovo60","denovo67","denovo65","denovo237","denovo231","denovo230","denovo228","denovo229","denovo222","denovo221","denovo590","denovo593","denovo599","denovo531","denovo411","denovo410","denovo413","denovo412","denovo415","denovo414","denovo417","denovo416","denovo419","denovo418","denovo325","denovo324","denovo329","denovo391","denovo399","denovo110","denovo111","denovo112","denovo113","denovo114","denovo115","denovo117","denovo118","denovo119","denovo352","denovo353","denovo350","denovo351","denovo356","denovo357","denovo354","denovo355","denovo358","denovo6","denovo7","denovo34","denovo35","denovo30","denovo31","denovo32","denovo524","denovo527","denovo526","denovo523","denovo227","denovo225","denovo306","denovo199","denovo190","denovo191","denovo192","denovo193","denovo194","denovo195","denovo196","denovo197","denovo543","denovo1","denovo3","denovo4","denovo5","denovo8","denovo9","denovo257","denovo256","denovo251","denovo250","denovo259","denovo258","denovo771","denovo566","denovo18","denovo19","denovo10","denovo359","denovo73","denovo448","denovo449","denovo446","denovo447","denovo445","denovo442","denovo443","denovo440","denovo441","denovo129","denovo128","denovo121","denovo120","denovo123","denovo122","denovo125","denovo124","denovo127","denovo126","denovo90","denovo97","denovo95","denovo99","denovo141","denovo579","denovo576","denovo214","denovo219","denovo87","denovo313","denovo158","denovo154","denovo152","denovo323","denovo322","denovo321","denovo320","denovo327","denovo326","denovo692","denovo89","denovo247","denovo288","denovo289","denovo284","denovo285","denovo286","denovo287","denovo280","denovo281","denovo282","denovo283","denovo528","denovo40","denovo42","denovo44","denovo46","denovo48","denovo316","denovo317","denovo314","denovo315","denovo310","denovo205","denovo206","denovo209","denovo437","denovo436","denovo435","denovo434","denovo433","denovo432","denovo431","denovo430","denovo439","denovo438","denovo140","denovo660","denovo41","denovo43","denovo49","denovo177","denovo172","denovo173","denovo178","denovo179","denovo200","denovo378","denovo370","denovo372","denovo373","denovo374","denovo375","denovo376","denovo377","denovo208","denovo204","denovo201","denovo202","denovo203","denovo100","denovo509","denovo508","denovo502","denovo500","denovo507","denovo506","denovo70","denovo72","denovo74","denovo76","denovo239","denovo235","denovo234","denovo236","denovo233","denovo581","denovo586","denovo465","denovo466","denovo460","denovo461","denovo462","denovo463","denovo468","denovo469","denovo109","denovo108","denovo107","denovo106","denovo105","denovo101","denovo2","denovo149","denovo148","denovo341","denovo343","denovo342","denovo345","denovo344","denovo347","denovo346","denovo349","denovo348","denovo255","denovo252","denovo554","denovo557","denovo559","denovo550","denovo186","denovo185","denovo184","denovo183","denovo182","denovo181","denovo180","denovo189","denovo188","denovo305","denovo307","denovo303","denovo263","denovo260","denovo261","denovo266","denovo267","denovo264","denovo268","denovo269","denovo311","denovo25","denovo20","denovo29","denovo28","denovo45","denovo470","denovo476","denovo58","denovo59","denovo54","denovo459","denovo458","denovo454","denovo457","denovo456","denovo451","denovo450","denovo453","denovo452","denovo396","denovo394","denovo395","denovo392","denovo393","denovo390","denovo398","denovo644","denovo641","denovo642","denovo139","denovo133","denovo217","denovo215","denovo569","denovo159","denovo155","denovo156","denovo157","denovo150","denovo151","denovo153","denovo318","denovo319","denovo312","denovo116","denovo135","denovo299","denovo298","denovo293","denovo292","denovo291","denovo290","denovo297","denovo296","denovo295","denovo294","denovo488","denovo489","denovo482","denovo483","denovo480","denovo481","denovo486","denovo487","denovo484","denovo485","denovo732","denovo16","denovo85","denovo88","denovo56","denovo57","denovo55","denovo52","denovo53","denovo50","denovo51","denovo12","denovo11","denovo14","denovo213","denovo212","denovo211","denovo210","denovo216","denovo37","denovo405","denovo402","denovo403","denovo400","denovo401","denovo406","denovo407","denovo404","denovo409"
"Adenoma1.2065",350,9,0,0,0,0,0,0,0,56,0,0,0,0,1,0,0,0,0,260,0,29,0,43,0,6,0,0,6,1764,8,0,2,0,0,0,0,0,0,0,0,145,9,17,0,0,0,0,351,7,0,0,0,2,0,0,13,7,4,0,10,0,13,2,3,0,4,0,237,0,0,0,1,0,1036,0,103,0,0,0,0,0,0,78,12,0,12,0,0,0,0,0,0,0,171,36,18,1264,0,4,85,0,0,0,0,0,3,0,0,0,0,0,261,0,37,0,1002,0,8,10,1,0,0,0,0,9,0,0,0,0,0,0,16,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,96,0,43,0,0,0,0,5,0,0,180,27,0,124,50,129,0,0,21,0,0,1,253,19,53,0,0,0,0,1,0,0,0,161,0,5,0,6,1,0,0,0,0,0,26,0,109,1,6,1,0,7,1,1,0,0,1174,0,13,0,0,6,0,0,8022,0,1674,299,353,0,0,3,0,0,102,0,0,56,1,0,0,0,115,0,0,0,0,183,277,2107,8441,5,73,1,0,28,4,2,97,0,0,240,3341,1,0,59,0,0,0,0,0,0,0,0,1,0,361,49,29,0,0,0,19,0,0,0,0,41,0,45,0,0,0,15,14,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,995,0,0,0,1,0,0,0,0,492,0,908,1,1,0,0,0,0,0,0,0,14,0,31,0,16,3,0,42,9,0,4,1614,0,57,0,4720,0,0,0,0,4,0,220,0,0,1,24,69,0,0,446,0,0,1,65,1,0,0,0,0,1,0,204,222,0,22,2,0,47,0,0,0,0,168,5,20,0,0,94,1,0,0,0,0,0,0,128,226,0,25,0,0,0,0,0,7,0,1,19,7,0,37,0,1,0,66,579,34,0,0,68,0,28,3,0,0,3,0,0,0,3,0,0,0,51,40,596,347,0,6,86,9,1,0,0,0,2,78,0,0,0,17,0,7,0,0,0,9,0,1,0,0,1,0,0,0,4,0,531,0,10,83,1,10,0,0,0,0,0,0,0,0,216,6,0,0,335,0,2,0,22,0,0,0,0,0,0,0,1,0,0,0,0,1624,0,1,0,0,0,252,44,234,0,0,506,366,0,0,0,0,40,0,91,149,240,0,0,0,0,0,0
"Adenoma2.2113",31,0,134,0,0,116,2965,0,1,15,210,2,0,0,0,7,0,0,0,0,3,0,124,36,8,4,0,0,11,0,0,0,1,0,0,0,0,0,83,0,68,37,3,301,3,0,0,0,0,15,3,19,0,0,0,0,0,31,10,122,1,0,19,8,0,0,5,6,0,0,0,8,0,0,371,3,254,57,0,336,98,0,0,0,0,0,1,1,0,0,21,4,0,6,377,10,1,0,467,285,184,0,0,0,1,0,0,0,137,0,0,17,3,0,6,189,0,0,2,0,0,0,23,0,0,0,0,0,55,0,0,52,44,418,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,9,1,0,0,5,0,3,0,6,0,0,0,0,0,38,0,212,436,0,16,591,69,751,2,0,0,51,0,0,1,7,50,0,0,0,0,0,0,0,0,0,0,0,10,0,20,34,5,0,3,0,0,23,0,0,242,0,124,0,6,0,0,14,0,0,3,0,0,3,15,6058,9,950,4,842,966,424,3,2,0,0,2,15,176,2,0,5,0,17,5,4,0,0,0,2594,112,306,53,330,3511,1,0,10,1,2,1,0,0,89,3609,597,22,1049,0,0,0,0,0,0,0,136,0,5830,0,71,0,39,0,11,0,0,0,1,95,0,0,0,0,0,0,44,0,494,0,0,10,0,0,0,0,0,0,0,43,0,0,0,0,0,31,0,3,101,0,48,0,610,0,2,1,2,0,0,0,0,4,10,0,0,0,31,122,0,1,0,0,0,0,11,0,0,0,2,0,14,0,0,0,0,253,36,0,0,44,1,19,0,10,24,0,1,0,2,434,0,0,0,0,0,0,152,122,199,183,7,0,1,0,0,0,0,0,21,0,23,0,50,1,0,0,0,0,0,0,6,163,0,1,23,0,0,488,0,11,0,2,7,0,0,0,0,0,0,0,0,57,0,11,95,2,2,1,53,0,0,0,28,0,18,0,0,0,0,0,2,420,3,166,355,0,1,0,472,0,0,0,0,0,13,105,0,0,0,43,0,4,2,0,141,1,1,0,0,0,0,4,0,1,29,0,0,11,0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,19,1,0,23,0,0,9,0,21,0,28,0,1,0,1,0,2,2,97,199,0,0,0,1998,2714,0,0,0,1,39,25,111,0,0,0,0,3,0,0,0
"Adenoma3.2123",0,0,46,1,0,0,1,22,0,169,0,0,0,0,0,5,0,0,0,0,0,2,4,26,96,13,0,0,1,1,0,0,11,0,2,0,0,0,0,0,42,6,0,53,0,0,0,0,0,0,0,0,0,85,1,0,0,33,1,0,0,0,145,22,0,0,16,13,0,0,0,0,0,0,1625,0,359,311,1,0,0,0,0,0,7,1,0,0,0,0,1,0,0,3,2284,468,4,1,6,349,169,0,0,0,4,0,0,0,0,0,0,32,0,0,20,0,0,0,2,1,0,0,0,0,0,23,3,0,25,0,0,0,4,157,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0,10,0,1,1,0,0,1,0,62,3,112,55,0,0,197,0,0,0,98,9,0,2,13,0,18,18,36,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,2,0,0,0,197,0,0,0,7,0,72,0,0,50,0,3,0,0,2,0,0,5,8,1352,1,1099,817,0,0,9,0,0,0,10,1,0,0,0,5,8,20,14,0,1,0,6726,2398,2971,97,2444,793,0,0,0,7,12,0,0,0,3361,801,5337,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059,0,21,0,0,0,0,1,0,159,0,0,0,0,11,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,2,0,1,15,0,3,1,1,661,21,0,0,32,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,466,0,146,0,0,0,0,0,0,7,100,0,0,0,1,56,0,0,0,0,0,0,1199,3,237,0,0,0,0,6,0,1050,27,138,13,0,218,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,511,40,14,0,0,0,0,0,4,0,0,18,4,0,0,0,1,0,0,0,3,0,0,171,0,8,0,27,0,0,0,18,0,51,1,0,0,0,0,2339,840,1,249,199,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,9,0,3,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,19,0,0,0,0,6,1,0,0,8,0,3,0,474,0,5,0,80,1,16,0,650,3371,717,0,1,0,0,30,11,2,0,0,4,0,1,0,0,0
"Adenoma4.2143",13,0,0,0,0,0,0,180,0,42,0,9,0,0,0,6,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,7,0,0,0,0,0,424,0,10,49,0,178,238,0,0,0,0,9,11,0,0,5,0,0,0,31,1,0,0,0,0,0,0,0,36,20,0,0,0,0,0,0,3635,0,3,162,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1494,42,15,0,31,861,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,22,6,0,0,0,0,0,0,8,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,42,0,0,0,0,0,37,0,11,0,0,0,0,0,76,2,0,1027,1,0,0,0,463,0,463,21,0,5,14,0,0,261,9,0,0,1,0,0,0,0,1,117,400,5,0,0,0,5,0,1,0,0,4,13,1,0,132,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,613,1,0,634,31,0,3,0,0,0,0,0,0,0,100,53,15,4,0,0,0,0,13876,1028,85,93,5695,2571,0,0,15,2,6,0,0,0,0,7,4,16,62,3,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,234,5,0,0,1,0,0,0,0,0,0,0,0,1,460,0,0,0,0,0,0,6,0,0,64,0,190,1,1970,2,368,0,0,297,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,55,0,0,0,1,0,0,12,781,0,0,2,0,0,0,701,3,18,1,2,6,0,0,0,0,0,0,0,12,161,0,0,8,0,0,0,0,1,0,1,160,0,60,0,0,13,503,1,1,0,0,0,0,0,0,0,0,0,1,0,6,0,147,223,0,157,4,42,1,4,0,0,0,55,0,0,442,0,0,1,0,0,612,505,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,1,23,1,0,1,0,0,0,101,93,6,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,3,0,0,0,0,0,14,1,0,0,0,1,0,0,0,146,0,957,0,0,2,148,4004,1075,0,0,0,0,94,20,0,0,0,0,0,0,0,244,0
"Adenoma5.2243",24,0,9,191,0,0,1,0,118,14,20,7,116,1,0,0,22,0,0,0,0,0,17,0,0,4,0,0,2,0,0,0,3,0,0,0,295,0,6,0,2,15,1078,10,44,0,0,0,0,2,1,1,0,1,0,0,20,3,0,28,0,0,47,0,0,0,0,0,0,0,0,0,1127,0,5,1,16,48,12,0,69,0,12,21,0,0,5,0,0,0,461,0,0,13271,115,26,1,4,25,109,34,0,0,0,2,0,0,0,6,0,0,0,0,0,8,9,0,0,0,0,8,0,0,0,0,0,0,423,37,66,0,0,16,3,410,0,6,1,0,0,0,337,0,0,0,0,0,5,0,0,0,0,0,322,0,2,14,6,0,0,0,0,0,0,0,281,47,0,6,2,50,69,28,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,0,18,17,0,0,34,4,0,0,32,0,0,4,0,52,0,11,0,100,0,22,0,0,20,0,0,0,24,0,9,0,2,536,97,2,0,190,60,2,1,0,0,0,4,0,0,0,5,0,11,61,10,0,149,0,138,549,870,650,257,13,1,0,8,1,0,80,0,0,488,130,301,0,21,0,0,0,0,0,0,2,0,0,0,0,75,0,0,121,4,0,0,0,715,16,1,7,2,0,0,0,4,1,0,0,19,0,0,204,0,9,0,0,0,1058,15,0,0,0,29,4,0,0,0,0,0,0,149,1106,353,120,12,0,0,0,1,0,19,0,0,1,3,0,0,0,0,0,9,0,3,0,0,142,14,522,0,0,0,153,4,0,1,0,0,0,0,10,0,0,17,0,59,0,1,0,0,0,0,0,0,25,33,169,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,12,189,6,2,5,0,0,0,0,1,1,0,0,0,0,2,0,464,0,163,0,1,0,2,11,0,0,64,0,0,15,0,0,53,0,240,0,0,13,39,119,325,192,27,16,0,3,0,14,164,0,15,0,0,36,2,0,0,0,0,0,12,6,0,0,11,0,49,0,0,0,0,0,2,0,56,115,122,13,0,0,111,37,0,0,28,0,0,0,0,14,217,0,0,0,0,0,0,0,0,0,1,0,7,0,4,0,42,0,70,0,68,0,68,100,0,82,0,153,210,0,0,0,29,3,0,13,0,0,0,0,15,0,0,10
"Adenoma6.2453",0,50,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,4,117,50,1,0,0,0,0,0,0,22,0,0,0,1384,0,0,0,0,0,3,0,8,533,3,0,0,7,0,42,7,40,0,0,0,22,0,9,1020,0,37,0,0,8,0,0,8,22,0,0,0,2,1,0,3,0,12,1,0,0,0,0,0,0,32,0,0,0,0,0,37,0,0,1,1828,0,66,10,110,0,0,2751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17,0,0,186,0,0,1,0,77,0,2,4,98,0,0,3,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,20,0,0,6,0,0,0,8,0,0,0,0,46,221,2716,0,0,0,0,0,0,0,67,0,6458,0,0,476,0,1,0,0,19,0,0,0,1,1,0,0,1,0,10,0,0,0,0,0,11453,176,27,110,2,0,2,0,0,53,5,0,0,0,1,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,30,72,0,4,1,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,18,0,0,0,365,0,0,0,11,1670,0,0,0,13,13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,36,0,0,0,0,0,0,3,565,5,0,0,5,0,0,0,0,10,0,0,0,0,583,0,0,0,0,0,0,161,0,0,0,9,0,0,0,22,0,3,2,121,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,276,18,0,0,0,0,0,0,38,0,0,1,0,0,0,3,0,0,0,298,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,17,29,0,6,39,0,2,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,694,0,0,0,0,0,60,0,1,0,9,6,0,0,0,0,0,7194,0,0,0,6,1,0,0,2,0
"Adenoma7.2475",4,0,0,0,0,0,2,0,0,401,0,95,0,0,0,13,0,0,693,0,0,1,139,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,14,0,11,16,0,121,24,0,0,0,0,23,8,1,0,0,0,0,0,13,9,0,0,0,29,18,23,0,14,5,0,0,0,0,0,0,599,12,64,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,3,3100,65,18,20,8593,879,0,1,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,2,0,3,72,0,0,0,0,0,0,0,0,100,0,0,1,0,12,0,5,0,1,0,148,310,1,9,25,0,0,0,0,0,35,0,0,531,3,1,38,13,522,10,0,1073,0,244,17,0,31,105,0,0,1,0,0,0,0,0,3,4,0,29,0,0,0,5,1,1,0,1,0,0,0,0,0,0,1,18,0,0,21,0,0,0,0,0,0,0,4,1540,394,8501,222,767,0,5,15,0,5,0,0,0,2,0,64,16,2,6,6,0,0,0,3641,3,75,128,947,859,2,16,8,2,6,0,0,0,0,1948,1219,10,26,0,0,0,0,0,0,54,0,0,0,0,29,0,0,1,262,0,0,0,0,2,150,0,164,0,0,0,172,0,0,1,0,0,0,0,0,0,0,0,0,16,279,0,0,0,0,8,0,3,0,0,0,0,1092,0,10,0,50,0,0,161,11,0,62,9,0,0,0,0,0,0,0,0,0,0,4,0,5,813,1979,211,0,0,0,0,0,0,0,0,0,79,11,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,405,135,1,22,15,0,1,0,0,0,0,0,1,1,0,0,0,10,0,0,0,12,417,0,0,1452,10,64,0,0,0,0,0,21,5,0,0,5,0,0,0,0,1,10,1,2,0,27,79,0,0,0,0,0,0,0,0,0,21,0,0,2,0,5,28,0,401,4338,327,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,271,0,0,112,0,0,0,301,0,0,0,0,1,0,0,8,169,0,1,0,0,0,0,24,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,14,0,48,2,421,0,200,0,0,522,0,35,0,2770,406,0,0,0,0,55,3,28,0,10,0,0,2,0,1,0
"Adenoma8.2555",228,0,0,0,0,0,0,5,0,79,44,0,0,0,0,4,0,0,0,0,2,7,19,0,0,0,6,0,29,0,0,0,0,0,124,0,0,0,3,0,0,16,1,23,2,0,0,0,0,6,0,0,0,0,0,0,0,10,60,0,3,0,182,9,0,0,22,25,0,0,0,137,0,0,94,0,4681,0,0,0,0,0,0,0,13,0,37,0,0,0,0,34,0,2,1767,70,2,1,6,98,1051,0,0,0,1,0,0,13,0,0,0,224,0,0,0,0,0,0,5,0,0,0,7,0,0,58,6,0,29,0,0,1,11,120,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,6,0,0,6,2,0,0,0,85,0,0,0,3,3,374,3,290,0,0,6,0,0,2,0,0,1,11,0,0,0,451,2,0,0,0,0,0,11,0,0,0,367,0,1,0,0,0,0,0,281,1699,116,1,18,0,0,18,0,0,0,0,0,13,0,6,0,1,475,0,107,6,0,13,296,0,0,5,0,2,0,0,0,4,6,67,0,0,0,4792,9,9,106,1862,1072,7,0,0,6,3,0,0,1,1,728,1540,9,0,0,0,0,0,0,0,0,19,36,1,0,0,3,2,0,0,0,77,0,0,1,0,0,0,0,0,0,16,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,275,0,0,27,0,3,0,0,15,2,170,0,817,1,54,0,0,0,0,5,0,0,1,5,0,61,15,5,0,0,0,0,2,84,0,39,3,0,0,0,0,0,0,80,0,0,0,0,2,2,0,0,0,0,0,0,7,292,281,0,0,0,2,0,127,48,0,496,0,0,1,0,0,0,0,0,4,2,47,0,0,0,0,0,0,0,0,1,1,33,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,39,0,51,0,0,5,1,0,1,0,0,1,0,16,0,0,3,0,0,910,1515,18,1,309,0,0,0,77,1,0,1,0,0,2,0,0,0,0,0,0,0,0,33,0,71,0,0,381,0,0,4,0,2,0,0,0,168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1059,16,0,0,0,0,0,3,0,0,0,0,0,77,0,0,0,0,0,1,5,745,3,1603,1004,0,0,0,0,11,1239,2,1,0,8,0,5,0,0,0
"Adenoma9.2717",379,1,72,0,0,0,0,41,0,0,396,205,1702,0,0,10,0,0,1,52,2,0,12,6,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,488,25,1966,337,604,0,222,0,45,0,1,0,0,0,4,22,0,152,0,0,0,0,0,0,0,0,17,12,88,0,0,0,27,0,220,1,1127,1190,0,97,0,0,12,0,0,0,225,0,311,0,0,0,0,1,117,93,2,950,158,41,390,0,0,0,1,0,0,160,0,3,0,0,0,0,17,8,0,0,2,0,0,0,7,0,0,0,1,0,163,0,0,335,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,144,0,25,2,6,0,1,0,0,57,0,0,32,0,90,0,8,115,0,25,10,194,1,2,0,270,21,7,0,0,0,0,0,0,0,2,0,0,1,0,5,13,4,226,1,0,0,232,12,649,40,0,446,0,173,5,0,0,0,11,2,0,0,80,2,2324,3827,0,2,246,380,185,157,7,0,0,0,214,0,0,0,133,0,5,0,83,0,0,0,2876,723,3745,74,776,781,0,0,5,0,3,31,0,0,1019,248,257,12,137,0,0,0,0,0,0,17,2,3,0,0,0,0,0,0,1,0,117,0,0,887,15,7,1,0,0,0,26,59,0,0,0,0,4,0,0,0,0,0,0,342,0,0,0,0,0,236,0,5,0,0,3,0,356,0,0,524,2,0,0,14,0,0,0,318,0,0,0,0,5,0,0,1,0,0,0,2,4,96,591,97,7,0,0,0,27,0,7,0,0,0,2,0,0,0,33,37,0,0,1,3,0,0,0,0,0,6,661,17,1393,7,0,0,0,0,0,0,0,0,5,0,0,0,9,8,0,0,0,370,47,0,2,1147,0,0,14,1248,0,0,0,7,0,0,14,2,0,0,0,0,0,0,2,158,0,21,51,0,206,0,13,1,0,0,3,0,17,0,0,16,0,5,0,3550,0,0,768,0,6,0,785,0,0,53,0,0,0,23,0,33,0,1,38,0,0,9,0,0,0,0,0,0,0,4,0,6,0,221,0,10,60,0,0,1,0,0,0,994,144,0,0,0,33,0,0,1353,4,1,2,0,0,0,0,0,1,0,0,0,0,323,0,1,0,5,0,1145,7,1,0,0,659,2265,0,0,0,32,16,0,4,0,0,0,0,13,0,0,0
"Adenoma10.2757",27,0,0,0,0,0,1,49,0,155,0,11,0,0,0,3,0,0,0,0,0,0,228,0,70,4,0,0,0,0,0,0,0,0,0,0,0,0,102,0,7,92,0,164,0,0,0,0,0,17,0,0,0,0,0,0,0,19,13,0,0,0,1112,1,0,0,19,25,0,0,0,1,0,0,1213,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,724,246,8,25,212,27,86,0,0,0,0,0,0,0,0,2,0,1,0,66,3,0,0,0,2,0,0,0,0,0,0,9,4,0,1,2,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,4,0,0,0,0,0,2,0,0,0,4,0,1254,158,48,0,0,125,0,5,159,17,273,0,0,46,0,212,15,0,21,60,1,0,280,39,0,0,0,0,3,23,0,22,0,0,1,19,0,1,0,0,0,0,0,54,0,0,0,290,0,0,7,0,0,0,5,0,0,2,2,0,881,750,154,379,2,0,14,0,0,0,8,0,6,0,29,601,61,37,164,0,0,0,2042,980,1407,251,2086,929,0,0,4,1,6,0,0,45,2,174,1570,28,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,302,0,0,0,0,14,334,22,0,0,0,0,15,9,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,86,0,24,0,12,0,0,0,0,276,1,62,1,65,0,0,22,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,1,0,0,0,0,0,2,0,0,0,0,7,17,0,0,14,0,0,0,39,60,0,0,40,0,0,0,147,9,0,4,0,2,6,0,0,0,0,0,7,26,0,0,0,3,0,0,0,294,46,0,22,523,0,39,14,0,0,10,0,4,125,0,0,1,0,0,0,0,0,0,0,2,0,0,170,0,0,0,0,0,38,0,0,0,37,0,0,0,0,0,1394,90,236,3,136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,42,0,0,0,0,0,0,0,18,0,0,0,0,0,3,21,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,690,0,21,0,85,492,0,501,0,909,386,0,0,0,0,0,0,0,0,0,12,0,1,0,16,0
