"","denovo54","denovo34","denovo291","denovo428","denovo420","denovo421","denovo422","denovo423","denovo424","denovo427","denovo359","denovo71","denovo76","denovo185","denovo441","denovo439","denovo385","denovo384","denovo387","denovo386","denovo381","denovo383","denovo382","denovo388","denovo129","denovo128","denovo123","denovo127","denovo467","denovo468","denovo365","denovo109","denovo108","denovo107","denovo106","denovo105","denovo103","denovo102","denovo101","denovo92","denovo93","denovo90","denovo91","denovo96","denovo97","denovo94","denovo95","denovo98","denovo99","denovo180","denovo368","denovo6","denovo7","denovo143","denovo144","denovo284","denovo340","denovo343","denovo345","denovo344","denovo349","denovo348","denovo166","denovo163","denovo162","denovo169","denovo168","denovo298","denovo104","denovo367","denovo366","denovo364","denovo363","denovo362","denovo361","denovo360","denovo149","denovo148","denovo142","denovo141","denovo140","denovo147","denovo146","denovo145","denovo555","denovo305","denovo304","denovo301","denovo300","denovo379","denovo372","denovo312","denovo458","denovo156","denovo150","denovo151","denovo2","denovo323","denovo322","denovo321","denovo320","denovo327","denovo326","denovo325","denovo324","denovo329","denovo328","denovo239","denovo186","denovo183","denovo121","denovo189","denovo188","denovo122","denovo125","denovo410","denovo373","denovo519","denovo516","denovo78","denovo73","denovo74","denovo249","denovo289","denovo285","denovo286","denovo287","denovo281","denovo282","denovo283","denovo357","denovo299","denovo493","denovo309","denovo308","denovo222","denovo306","denovo303","denovo302","denovo262","denovo263","denovo260","denovo261","denovo266","denovo267","denovo264","denovo268","denovo275","denovo319","denovo443","denovo240","denovo241","denovo244","denovo245","denovo246","denovo62","denovo66","denovo69","denovo68","denovo63","denovo61","denovo60","denovo67","denovo65","denovo64","denovo226","denovo227","denovo224","denovo225","denovo220","denovo221","denovo40","denovo42","denovo45","denovo44","denovo49","denovo48","denovo313","denovo204","denovo205","denovo206","denovo201","denovo202","denovo208","denovo209","denovo120","denovo378","denovo242","denovo27","denovo26","denovo25","denovo24","denovo23","denovo22","denovo21","denovo20","denovo29","denovo28","denovo411","denovo414","denovo419","denovo418","denovo46","denovo380","denovo247","denovo58","denovo59","denovo55","denovo437","denovo436","denovo431","denovo229","denovo124","denovo126","denovo196","denovo455","denovo454","denovo456","denovo450","denovo453","denovo452","denovo471","denovo47","denovo396","denovo394","denovo395","denovo392","denovo393","denovo390","denovo391","denovo398","denovo138","denovo139","denovo131","denovo134","denovo135","denovo41","denovo43","denovo154","denovo155","denovo132","denovo130","denovo136","denovo137","denovo110","denovo111","denovo112","denovo114","denovo115","denovo116","denovo117","denovo118","denovo119","denovo85","denovo84","denovo87","denovo86","denovo81","denovo80","denovo83","denovo82","denovo89","denovo250","denovo178","denovo560","denovo337","denovo175","denovo198","denovo4","denovo191","denovo197","denovo352","denovo353","denovo350","denovo351","denovo356","denovo354","denovo355","denovo358","denovo176","denovo177","denovo174","denovo172","denovo173","denovo170","denovo171","denovo179","denovo548","denovo545","denovo207","denovo370","denovo371","denovo374","denovo375","denovo376","denovo377","denovo158","denovo159","denovo157","denovo152","denovo153","denovo37","denovo30","denovo31","denovo32","denovo33","denovo182","denovo181","denovo524","denovo523","denovo522","denovo449","denovo318","denovo316","denovo317","denovo314","denovo315","denovo310","denovo217","denovo228","denovo508","denovo507","denovo248","denovo334","denovo335","denovo336","denovo330","denovo331","denovo332","denovo333","denovo338","denovo339","denovo199","denovo190","denovo192","denovo193","denovo194","denovo295","denovo243","denovo293","denovo292","denovo290","denovo297","denovo294","denovo184","denovo369","denovo389","denovo113","denovo270","denovo273","denovo272","denovo274","denovo277","denovo276","denovo279","denovo278","denovo341","denovo269","denovo482","denovo485","denovo1","denovo3","denovo5","denovo8","denovo9","denovo413","denovo417","denovo17","denovo256","denovo255","denovo254","denovo253","denovo252","denovo251","denovo259","denovo258","denovo15","denovo238","denovo280","denovo79","denovo70","denovo72","denovo75","denovo77","denovo288","denovo88","denovo235","denovo234","denovo237","denovo236","denovo231","denovo230","denovo233","denovo232","denovo16","denovo56","denovo57","denovo52","denovo53","denovo50","denovo51","denovo19","denovo13","denovo11","denovo14","denovo342","denovo347","denovo346","denovo165","denovo164","denovo167","denovo161","denovo160","denovo213","denovo211","denovo210","denovo216","denovo215","denovo214","denovo219","denovo218","denovo512","denovo223","denovo35","denovo36","denovo38","denovo39","denovo187","denovo18","denovo12","denovo10","denovo402","denovo403","denovo400","denovo401","denovo406","denovo407","denovo404","denovo409"
"DA00006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"DA00044",122,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA00065",1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1,0,0,0,10,0,0,0,0,0,2,1,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,482,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,11,90,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"DA00108",0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,0,22,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,0,0,0,0,0
"DA00153",2,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,10,0,0,11,0,0,0,0,0,0,0,81,0,0,19,1,0,0,0,0,0,0,0,0,0,0,103,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,4,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,366,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,1,78,4,12,0,135,0,0,0,205,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,8,32,0,17,0,0,0,0,0,0,75,0,0,0,0,0,0,9,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,93,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,31,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,31,8,94,1,0,0,0,5,0,0,0,0,2,0,1,0,0,0,46,0,0,0,0,0,8,0,0,0,0,0,0,0,2,6,0,0,29,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,132,0,15,0,0,0,0,0,0,0,0
"DA00154",0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,15,0,0,0,0,0,1,0,0,0,4,40,0,0,36,25,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,39,0,2,0,0,0,0,0,0,0,0,0,1,0,42,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,26,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,1,0,0,0,0,0,0,0,78,0,0,0,1,71,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA00155",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,8,0,37,0,0,0,0,0,0,0,50,0,0,0,0,0,0,55,2,6,1,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,295,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,234,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,1,5,2,0,0,0,0,28,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,218,0,0,2,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DA00165",1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,35,0,54,1,20,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,367,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,177,0,170,0,64,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,39,85,0,18,3,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,1,66,73,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,152,3,0,0,54,0,0,0,0,0,0,0,0,3,0,0,0,0,86,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA00170",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,18,0,0,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,99,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,89,1,0,28,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,306,0,90,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,41,108,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,6,0,256,0,0,2,0,0,33,0,0,0,0,0,0,0,0
"DA00210",31,31,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,6,0,0,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,16,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,79,151,353,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,47,11,0,0,0,9,27,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
